Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Proportion with salary or wages,Count salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Count super total accounts balance,Population,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Median Sales Price
$'000s","Mean Sales Price
$'000s",Annual median salesprice change,Annual change in sales Count,"Sales
No.",No. 1 Bedroom rented,No. 2 Bedroom rented,No. 3 Bedroom rented,No. 4 or more Bedrooms rented,No. Bedsitter rented,No. Not Specified rented,No. Total rents,"Median Weekly Rent for New Bonds
$",Annual change in Median Weekly Rent,Annual change in New Bonds Lodged,"New Bonds Lodged
No.","Total Bonds Held
No.",sum of speeding fines paid in 2015($)
2000,1.82143975968266,1.82143975968266,0.7617074189730522,1.8346275571574804,-0.6996451627377854,1.1453985330801995,-0.6175072251805677,-0.7967659089333654,1.82143975968266,1.82143975968266,0.23997616434017033,-1.677996406873865,-0.41371704453273744,1.6691556677307051,1.0975783003783224,-1.399717057352685,-1.0475595725028433,1.1713900517010372,1.0543937445407587,-0.8674139905718378,-0.8540314307535298,1.5528651023678441,4.297154933267183,0.7438764382046118,2.0364806450985116,2.015581002136161,2.159246442201629,1.6711711422907272,2.530976057583429,0.6864788494242617,1.6213806183600687,1.9411562597396876,3.205376061195239,0.6863945540059306,1.6530615315428974,1.6305546607634382,2.5153304932312888,-0.41169469372494916,-0.3953693312977847,0.9214326874563032,1.3411477174909352,-0.03201748184486184,-0.42358133641182993,1.123922186822257,7.761279184237467,2.901280513590473,-0.026220019089521585,-0.5680309351923287,2.9710104483523283,3.1653023638534306,3.4339425824498795,2.5293126046535446,-5.093834890254962,-0.2528256167042261,4.696054227669833,3.4343689928575087,0.3952833220363341
2007,-0.44270389893554946,-0.44270389893554946,1.173963442772422,-0.3776463815773784,-0.6996451627377854,-0.5580503524100525,-0.4492350892591074,-0.5811418164199709,-0.44270389893554946,-0.44270389893554946,-0.723035280714012,-1.677996406873865,-0.41371704453273744,-0.480366304778899,-0.8516903478324844,-1.500117230042644,-0.6647255245931678,-0.5535122640530515,-0.6445895978256247,-1.1929130384114144,-1.2271236598881752,-0.5046877055558083,-0.24481514816802333,-0.4861362429207567,-0.40695979942544147,-0.4086202403915786,-0.5492279319769948,-0.4833055991227487,-0.5321563152129218,-0.61009154315646,-0.6137263039387113,-0.35986448344382044,-0.44664273317248343,-0.6107164900352318,-0.6122694024205532,-0.48412358689507384,-0.5313533504208272,-0.52055944992843,-0.5469887445031325,-0.22562078873284216,-0.16677439243404885,0.6898377366679543,-0.1376206923328838,-0.573506101993145,1.7971521027162667,0.05944932617942047,-0.6241685768023305,-0.6447105504221456,0.01984770052617457,-0.14773520655819739,0.16597676565148065,0.7730484829318056,-0.06918442074970405,1.0615497996286747,0.5087314633339535,0.16301721768984193,-0.7066188579345147
2008,-0.28645024625090343,-0.28645024625090343,1.4488007919720018,-0.20153459577561367,-0.9428347916052303,-0.4673806087146367,-0.6178778686517603,-0.3721727884903231,-0.28645024625090343,-0.28645024625090343,7.561237288989378,-1.3456704311930996,-0.042097523829647286,-0.2587661014273934,-0.8898413829472196,-1.8264768502101225,-0.2818914766834924,-0.3384165316328774,-0.9066697690129923,-1.3438657988099232,-0.29439308705155887,-0.3137660554553293,-0.1236718378749665,-0.5502034976735639,-0.2758823716880735,-0.27854925188721774,-0.2219096467433527,-0.3133322971217851,-0.12012160031886296,-0.39133011687464403,-0.2558306577056191,0.29182320955570457,0.16269993429265692,-0.38970588791037547,-0.24825378845091564,-0.29692418113458424,-0.10947427347335521,-0.34365422109777366,-0.37923272161129595,-0.21367231502253858,0.09343281748228503,-1.2107847011467556,0.548516888320564,-0.2739599333786623,4.546316961146933,0.28454486577633553,-0.39465296879135336,-0.3066231559997707,8.163386415046457,2.467820770082562,1.5646774333079778,1.6614510942121001,-2.598965228223035,-0.6323908043760814,1.945149712747469,1.5646215148318054,-0.5807533059575536
2009,0.1287941426196052,0.1287941426196052,0.7617074189730522,0.16305553946712606,0.5163029815994378,0.23870109612604185,-0.8265501429332187,-0.6343823330899448,0.1287941426196052,0.1287941426196052,0.4529070462589302,-0.43703232047100665,-0.41371704453273744,0.05147418326471438,1.2203092888780853,-1.3613287560300538,-0.6647255245931678,-0.046106946549051,1.4665841248243392,-1.0002707447920731,1.0114297149197067,0.17651947552409297,0.3397358907877628,-0.131919003759837,0.17477551574552716,0.17082173688472452,0.5521653968216739,0.1901503873445497,0.753170520808886,0.07333568997703567,0.4854657850666022,0.8791466859626839,1.422058803250585,0.07227640408210285,0.49759330245851446,0.2203849946784837,0.7468700624959071,-0.5239614735597887,-0.5379661535702303,0.35029564410379127,0.778076377999852,-1.0562892764195135,0.4256223971304932,-0.573506101993145,1.617075801945699,1.0197754054379984,-0.20741655172976672,-0.6447105504221456,0.270418122511414,0.2881907895485958,0.7212767480046053,0.9099891551908108,-4.36410680139443,7.552766531625793,1.695337843284249,0.7218507794207034,-0.4822238828822617
2010,1.488311390958285,1.488311390958285,1.311382117372212,1.6285678280848572,-0.21326590500289627,1.2039412022378695,-0.6226962337772647,-0.6297237878813221,1.488311390958285,1.488311390958285,0.4721969519379816,0.4127125793709506,0.32952199687344236,2.013287748229514,-0.2243177703901741,-0.8894479443872465,0.10094257122618358,1.8621782692812119,-0.5230462805625178,-0.8061395392719878,1.7576141731889994,1.727480840395065,2.161671716354105,0.9518788382977751,1.5670611916057904,1.569659833295081,2.5488759851459037,1.7013647766407631,2.8957683627005135,1.5606257812307291,2.4746667174977723,5.006502074959675,5.414035910248146,1.562344629636667,2.5344446602618333,1.785648627541258,2.9110174646873572,0.41499704869523296,0.41898336669366215,1.0528658982696428,0.9487040566335135,2.39914881875659,0.8910257948605451,2.042530437240004,7.9773707451621485,2.090202563847241,0.3945585955972699,0.2824157064474599,8.219068731043176,4.8145557157907986,3.707355798583056,1.6871274702606631,-3.0098098056736857,1.3257289285120384,4.791220654132013,3.7078527581535017,-0.0676332058632038
2011,0.7302418238095231,0.7302418238095231,0.6242887443732638,0.7524787413552659,0.029923723864548644,0.6863383346852991,0.07337220512252032,0.013820957366988112,0.7302418238095231,0.7302418238095231,1.206697206640324,1.0184713198523458,0.701141517576532,1.115155159351941,0.18300866031264132,-0.6298249095960349,0.483776619135859,1.0983126554300806,-0.20657030528811696,-0.7942282440660356,1.944160287756323,0.9150348135993287,1.3200501058633598,0.37299385179510913,0.825979332270536,0.8253931259886939,1.7847209175060605,0.9529611394264214,2.216034963369947,0.8834899613428076,1.7802778173297285,3.3491234977016244,3.550308023815204,0.8829483279054163,1.8157256193229245,1.00474556551663,2.2174751034045075,-0.13272875595352968,-0.15549548581162237,0.515184581305981,0.8463274494533166,1.0395890811568598,0.31518532019545237,1.24374065426805,7.655634421118735,1.3329518083554455,-0.3141211765068,-0.5819726834159318,15.81970486459544,4.611123584274295,3.235661510419415,0.6720547371407892,-2.69348076832049,-0.4677000995147939,3.5986663725278305,3.2360367581077285,-0.3024502620089579
2015,-0.0893227001302895,-0.0893227001302895,1.7236381411715818,0.0338770975973037,0.27311335273199355,-0.07471636436441102,-1.473323000164382,-1.8349559839978575,-0.0893227001302895,-0.0893227001302895,0.1494619915384675,1.64105669201378,-0.042097523829647286,-0.029344714428187653,-0.6769633372259438,-1.2147445039027136,-0.2818914766834924,-0.0681680473100945,-0.7246228470631464,-0.9694617216151392,2.3172525168909703,0.050504854064738695,-0.03390453858845203,-0.3826853137738924,-0.07673088331727558,-0.07577650261764926,0.21652661604402654,0.010674520218194107,0.2937222280313273,0.06219090079916174,0.2564226608992172,0.9032832671848885,0.627382789810136,0.06274543425898049,0.2645542840871905,0.059857799765135104,0.2977344758010631,-0.3623653510702469,-0.42110923450598875,0.11371586463978003,0.2853889559451543,0.5254809018517392,-0.3163635912505608,-0.11420197678427153,1.4754157786728526,0.5194271679644208,-0.1832570140444007,-0.37981733417368696,0.01984770052617457,0.4189685883806337,0.5100028991744237,1.988396949230475,-1.3681344785755427,0.3765595458684259,0.5533407257380999,0.5088272680227915,-0.5452512727354178
2016,0.04348676743042298,0.04348676743042298,1.4488007919720018,0.14428220189434912,0.029923723864548644,-0.0033228653916427126,-0.4047578727159901,-0.48663989933076707,0.04348676743042298,0.04348676743042298,0.10346298568842183,0.7618651867317549,0.701141517576532,0.3578038761329721,-0.5578709786846677,-1.1131631527105197,0.483776619135859,0.3303105851862537,-0.7179980852841554,-0.9206712239446044,1.7576141731889994,0.14960680511191932,0.2600727306389484,-0.09921719029091942,0.07640406127338253,0.07882653872839855,0.2769311940260073,0.1492280504335873,0.31550842289722075,0.1596179287734791,0.2958917222926752,1.4503791082215267,1.226765787353708,0.1594937694446377,0.3139336870989572,0.18235239772978265,0.32580485014330224,-0.056183224247957256,0.0017537758127059422,0.5629784761471953,0.42615679081792507,-2.17325832583051,-1.0145386733189814,-0.31389942252726,2.313370831591894,0.43501634061557765,-0.04635296716065993,-0.23691441488175527,1.244858652454012,0.7822402518029614,0.8060122488723253,1.9250618883106847,-1.5392842403736373,0.9157604301117875,0.7198819720469133,0.8057605710456103,-0.4950768124989677
2017,0.8551956481873468,0.8551956481873468,1.4488007919720018,1.004726840646626,-0.21326590500289627,0.6542112601475534,-2.096745318710409,-2.5976263852952344,0.8551956481873468,0.8551956481873468,-0.05085625974398953,0.6272521332914448,-0.042097523829647286,0.9691597312615375,-0.7759704583963721,-1.0819800402515207,-0.2818914766834924,0.8597770034512978,-0.8116063521555055,-0.9066983584145453,1.1979758294870304,0.9506545244389702,0.9322638816943648,0.09227708281072292,0.8278808423440955,0.8236043304689875,0.9007336550438214,0.8729556717577983,0.7991775205901744,0.7959494398972493,0.8188828502453255,2.7537544942205767,2.2743623472236183,0.7973494291166192,0.847532413946952,0.9275278686813885,0.8070464501337776,0.12412402821405777,0.2296125166466992,0.2642666333896054,0.14248827508946274,0.6194930113666142,0.21314650006155528,1.76295401319982,5.669993077955275,3.961920909408546,0.3019470344700335,-0.5122639422979163,0.38178275450485377,0.9130180506349993,3.252608610592959,1.1496353316440695,-3.2788810729781526,1.1520271219167926,6.209795198583869,3.2529882311632656,-0.0012579407984481127
2018,0.23300415921761344,0.23300415921761344,0.7617074189730522,0.27405662273473586,0.5163029815994378,0.32365935990363615,-0.1912672333090273,-0.5292323126667462,0.23300415921761344,0.23300415921761344,-0.27862553064663514,0.11403986705026269,0.32952199687344236,0.4177662840986736,-0.2548458757418791,-0.23212210789357385,0.10094257122618358,0.40890325664747124,-0.21179735721200293,-0.5784505501428258,0.6383374857850594,0.256940867108706,0.2562437937025568,0.16522728208753906,0.19708656727529192,0.19650372970336552,0.0942963647634517,0.20578363964761395,0.000137829839174106,0.17291977392126412,0.05935706033595217,0.4929613864074098,0.3807793740256879,0.17370030936966913,0.06584542995029309,0.2162689127576286,0.00754098207355217,-0.0629872715106748,-0.026732240820457775,0.09220861196123355,0.2427320362867389,-0.08329681430752092,0.1801133566437231,0.6246785724647859,1.0864509690084263,1.3806622759874,0.16705628239340656,-0.46346782351530547,0.01984770052617457,0.4189685883806337,0.8958318797921084,0.862059919900159,-1.6435919310217302,-0.4101902225948157,1.1005476778956296,0.8972985255455087,-0.16027473535983486
