Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance,Population,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Median Sales Price
$'000s",Mean Sales Price,Annual median salesprice change,Annual change in sales Count,"Sales
No.",No. 1 Bedroom rented,No. 2 Bedroom rented,No. 3 Bedroom rented,No. 4 or more Bedrooms rented,No. Bedsitter rented,No. Not Specified rented,No. Total rents,"Median Weekly Rent for New Bonds
$",Annual change in Median Weekly Rent,Annual change in New Bonds Lodged,"New Bonds Lodged
No.","Total Bonds Held
No.",sum of speeding fines paid in 2015($),SalesNo
2000,23478,23478,73334,29450,0.82,19149,58276,30795,0.13,3032,-1062,-1432,23478,76497,30640,23478,3010,300,0.09,2107,163473,21720,0.07,1636,134043,11215,0.7,16397,31606,7580,50254,71239,1285,22758,24459,24098,1631373847,17777,458680778.9,9629,24540132.04,359,707366.22,9624,25225846.88,16256,483194651.7,279,1743683,1225,1541,0.0524,-0.0278,105,3445,2930,416,42,232,530,7595,711.4285714,-0.1779,-0.017728571,1866,15190,176093,105
2007,5032,5032,47170,29967,0.85,4301,49272,33707,0.13,646,-608,-1108,5032,48949,31109,5032,1712,300,0.09,458,56330,20870,0.08,385,45308,8373,0.68,3400,15387,8288,7550,46593,3396,7111,5184,5125,241205865,3720,50296311.01,2416,3637206.66,73,81471.59,2411,3713341.81,3412,52941727.49,215,1191725,745,834,0.1622,0.1765,20,961,607,119,20,20,74,1810,564.8571429,-0.0093,0.238571429,458,3611,24691,20
2008,6305,6305,58973,41681,0.87,5483,57918,45454,0.12,773,-1063,-794,6305,71913,43466,6305,12878,379,0.1,628,54233,18107,0.09,541,31620,7055,0.73,4606,19833,11339,8689,63908,8624,6296,6218,6143,409207233,4829,105229809.6,3633,6984279.64,154,185902.68,3640,7170182.32,4549,112519522.8,319,1802427,750,956,-0.1269,0.6667,35,2106,791,233,117,605,434,4286,639,-0.094185714,-0.091742857,941,8572,41985,35
2009,9688,9688,86162,53780,0.82,7930,79347,58978,0.18,1762,-1626,-1188,9688,89627,56108,9688,3297,595,0.09,866,170219,22045,0.08,753,155571,10055,0.8,7703,31666,15132,13046,149505,20587,11617,9773,9660,806513684,8114,221659299,6218,13916952.11,227,401735.62,6209,14253050.03,7691,233452535.1,213,1224571,986,1277,-0.1034,0.5789,20,886,1392,326,20,38,134,2793,576.2857143,-0.153414286,1.504342857,857,5589,55523,20
2010,20764,20764,89782,59960,0.86,17766,83715,63647,0.15,3114,-1076,-1181,20764,93186,62562,20764,3323,797,0.11,2371,90814,26040,0.1,2137,51656,11750,0.84,17500,31049,16013,30176,112504,22076,25404,20756,20608,1831357469,17974,507315801.2,14492,32520142.07,740,1085893.39,14495,33595820,17198,539073595.9,765,4708267,1280,1357,0.4222,0.9114,151,3535,2267,625,286,609,757,8079,641.1428571,-0.107971429,0.290085714,1898,16158,112488,151
2011,14588,14588,107694,65277,0.81,11886,88928,68832,0.16,2389,802,-214,14588,112353,68372,14588,4313,941,0.12,1682,113203,28238,0.11,1583,68185,11854,0.85,12368,39977,17694,22263,170484,26181,18040,14910,14783,1439142605,13091,416692044.6,10725,26026153.25,534,766481.76,10717,26770571.3,12455,441131490.9,443,2616924,1055,1309,0.2154,0.5,111,3401,1648,273,38,1155,729,7244,556.4285714,-0.097357143,-0.059628571,1497,14488,80224,111
2015,7911,7911,82008,68240,0.89,7063,82022,71802,0.17,1323,-3371,-2992,7911,84934,70756,7911,2888,1089,0.1,804,65934,23286,0.09,737,41128,10324,0.87,6907,24949,17536,9533,112159,49047,8427,7789,7730,634241688,6943,160404503.7,6156,11774919.76,230,265541.51,6156,12040016.61,6716,170025573.4,308,1649979,887,1046,0.1372,0.0488,43,827,983,338,96,20,152,2419,666.2857143,-0.052885714,0.105,473,4835,46863,43
2016,8993,8993,78768,59853,0.87,7804,75941,63596,0.16,1423,-488,-966,8993,81654,62472,8993,2826,880,0.12,1101,72480,24146,0.11,1026,41474,10750,0.84,7533,25322,15724,12297,100287,29221,12033,8997,8940,665245308,7847,163309093.6,6698,12144038.05,298,368265.68,6694,12508943.53,7460,173989673.8,488,3189377,1075,1112,-0.2733,-0.45,33,1176,914,406,137,108,202,2943,661,-0.058628571,0.210142857,529,5886,53757,33
2017,15606,15606,68577,56330,0.87,13579,71638,62184,0.15,2344,-5053,-4138,15606,71264,58652,15606,2618,848,0.1,1570,60492,24410,0.09,1410,36585,10872,0.81,12593,21322,14859,18617,69824,23108,14469,14925,14769,985421942,12569,227793067.3,10238,17035099.15,460,547806.12,10241,17576214.34,11986,241950649.1,594,4018878,950,979,0.1515,0.4271,137,2574,3797,579,58,46,220,7274,596.2857143,-0.117,0.256214286,2375,14548,121608,137
2018,10537,10537,61689,48390,0.82,8675,63182,54964,0.18,1881,88,-1030,10537,64259,50755,10537,2311,726,0.11,1147,89136,31605,0.1,1083,67912,13738,0.78,8211,18833,11974,12261,85949,29570,15397,9949,9861,571505048,8216,121263097.5,6772,9931944.15,179,223277.83,6773,10152996.41,7666,129044426.1,484,3085676,878,1026,0.0446,0.4035,80,665,1687,512,72,20,152,3102,572.2857143,-0.062128571,-0.048414286,657,6210,99759,80
